 ,Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
1,Track_569,59,4,3,0,0,0,15.378,0,15.378,32.412,0,0,61.49,362.633,0,15.252,48.097,1.92,11.127,11.99,145.403,400.579,100.287,131.966,48.279
2,Track_571,9,2,4,0,0,0,3.728,0,3.728,18.028,2,2,47.821,367.364,0,19.622,50.917,3.684,11.496,19.726,168.144,279.273,100.596,168.942,60.583
3,Track_575,2,0,0,0,0,0,0.233,0.466,0.699,9.749,6,6,41.763,239.633,0,41.84,41.84,41.84,41.84,NaN,128.548,151.184,105.912,151.184,22.636
4,Track_581,27,5,4,0,0,0,7.922,0.233,8.155,19.587,12,12,58.215,352.443,0,20.978,54.884,3.098,16.757,14.197,190.051,435.284,101.456,140.638,99.91
5,Track_582,22,1,1,0,0,0,5.126,0,5.126,11.093,13,13,37.698,347.523,0,24.502,51.266,8.534,21.852,11.923,158.73,346.307,103.416,136.905,63.189
6,Track_585,13,3,3,0,0,0,4.427,0,4.427,19.162,16,16,30.564,329.02,0,26.799,54.334,6.84,24.155,16.26,136.622,225.141,101.099,116.869,36.131
7,Track_586,7,1,1,0,0,0,1.631,0,1.631,7.339,17,17,42.606,305.948,0,21.167,38.778,5.879,24.496,11.401,131.943,215.01,102.929,115.342,36.387
8,Track_587,15,2,1,0,0,0,3.728,0,3.728,24.735,18,18,61.021,362.287,0,26.417,61.694,2.625,18.647,19.305,149.327,251.499,100.372,135.263,46.263
9,Track_592,3,0,0,0,0,0,0.466,0,0.466,2.197,23,23,70.271,189.664,0,8.699,11.545,5.853,11.545,4.025,162.992,194.091,129.262,165.623,26.531
10,Track_596,8,1,3,0,0,0,2.33,0.699,3.029,20.182,27,27,33.843,330.879,0,29.273,47.728,6.11,25.536,16.059,139.476,184.944,110.959,133.781,25.667
11,Track_597,2,0,0,0,0,0,0.233,0.699,0.932,13.226,28,28,30.903,113.366,0,56.765,56.765,56.765,56.765,NaN,125.851,143.21,108.492,143.21,17.359
12,Track_598,2,0,0,0,0,0,0.233,0.699,0.932,8.521,29,29,53.596,300.205,0,36.572,36.572,36.572,36.572,NaN,169.515,236.24,102.789,236.24,66.725
13,Track_599,3,0,0,0,0,0,0.466,1.165,1.631,15.397,30,30,57.006,274.982,0,33.072,62.477,3.668,62.477,41.585,126.681,162.871,102.784,114.388,26.025
14,Track_600,9,1,4,0,0,0,2.796,1.864,4.66,8.712,31,31,38.563,361.557,0,26.032,54.778,4.644,33.835,17.354,203.479,332.309,118.699,173.487,65.557
15,Track_601,27,6,4,0,0,0,11.184,1.864,13.048,9.537,32,32,41.799,352.155,0,20.153,59.012,1.17,20.205,15.699,197.243,544.835,101.968,138.816,115.233
16,Track_607,4,0,0,0,0,0,0.699,3.029,3.728,11.467,38,38,47.617,302.57,0,16.986,25.151,7.254,18.553,9.051,114.511,135.459,102.795,112.319,12.554
17,Track_608,2,0,0,0,0,0,0.233,3.029,3.262,6.138,39,39,56.082,315.336,0,26.345,26.345,26.345,26.345,NaN,108.935,116.24,101.631,116.24,7.304
18,Track_609,11,3,4,0,0,0,4.66,3.029,7.689,17.156,40,40,45.655,327.913,0,25.011,58.547,3.115,29.473,19.833,178.562,414.71,101.367,124.938,99.744
19,Track_610,4,0,0,0,0,0,0.699,3.029,3.728,1.81,41,41,57.609,321.183,0,25.032,39.948,5.718,29.431,17.534,133.443,158.644,100.74,155.986,24.693
20,Track_611,8,0,0,0,0,0,1.631,3.029,4.66,6.78,42,42,56.125,325.459,0,20.42,36.026,6.453,20.435,11.245,162.169,375.877,104.618,122.504,85.537
21,Track_612,2,0,0,0,0,0,0.233,3.728,3.961,7.454,43,43,23.785,230.292,0,31.992,31.992,31.992,31.992,NaN,102.389,103.304,101.474,103.304,0.915
22,Track_613,2,0,0,0,0,0,0.233,3.495,3.728,9.816,44,44,30.833,196.821,0,42.131,42.131,42.131,42.131,NaN,106.404,107.476,105.332,107.476,1.072
23,Track_614,8,2,4,0,0,0,2.796,3.495,6.291,11.808,45,45,31.535,369.856,0,22.588,61.904,3.872,13.075,20.754,151.763,275.758,102.635,145.157,52.576
24,Track_615,3,0,0,0,0,0,0.466,3.262,3.728,7.727,46,46,46.326,363.312,0,42,43.043,40.957,43.043,1.476,115.462,133.56,101.378,111.448,13.441
25,Track_620,4,0,0,0,0,0,0.699,4.427,5.126,5.3,51,51,33.187,369.65,0,17.873,31.261,5.99,16.368,12.702,147.684,209.896,102.832,152.809,40.043
26,Track_621,13,2,3,0,0,0,3.728,4.427,8.155,4.09,52,52,32.412,366.393,0,17.355,37.209,1.413,16.856,11.861,163.79,505.636,100.686,129.02,103.287
27,Track_623,5,1,4,0,0,0,1.864,4.427,6.291,16.224,54,54,35.012,352.989,0,14.611,36.219,1.851,15.005,15.441,113.357,125.16,100.068,115.537,9.672
28,Track_626,2,0,0,0,0,0,0.233,5.592,5.825,14.782,57,57,33.696,235.108,0,63.443,63.443,63.443,63.443,NaN,144.862,180.888,108.836,180.888,36.026
29,Track_627,2,0,0,0,0,0,0.233,5.825,6.058,9.88,58,58,66.387,358.954,0,42.405,42.405,42.405,42.405,NaN,249.791,258.013,241.569,258.013,8.222
30,Track_628,2,0,0,0,0,0,0.233,5.825,6.058,0.775,59,59,69.835,307.934,0,3.324,3.324,3.324,3.324,NaN,186.688,271.122,102.254,271.122,84.434
31,Track_629,7,0,0,0,0,0,1.398,6.291,7.689,7.252,60,60,32.084,358.067,0,32.34,63.946,10.657,25.682,22.655,244.894,698.017,118.445,178.399,189.23
32,Track_630,8,2,4,0,0,0,2.796,6.291,9.087,14.218,61,61,45.768,341.913,0,15.148,29.971,1.511,17.82,10.378,243.736,504.075,123.903,246.389,119.711
33,Track_631,12,0,0,0,0,0,2.563,6.524,9.087,11.575,62,62,56.755,342.797,0,22.758,42.569,5.103,27.363,13.36,144.77,226.059,109.223,119.702,40.432
34,Track_632,2,0,0,0,0,0,0.233,6.99,7.223,1.309,63,63,20.994,311.26,0,5.62,5.62,5.62,5.62,NaN,173.454,177.554,169.354,177.554,4.1
35,Track_633,12,1,2,0,0,0,3.029,6.99,10.019,37.199,64,64,22.472,303.567,0,27.408,56.604,7.185,26.418,14.6,179.073,586.599,102.668,141.945,130.788
36,Track_634,9,1,3,0,0,0,2.563,6.99,9.553,28.636,65,65,29.194,306.293,0,28.248,50.983,6.96,29.033,14.439,177.019,395.701,106.745,115.449,94.294
37,Track_635,12,2,1,0,0,0,3.029,7.223,10.252,25.812,66,66,25.874,328.025,0,27.117,55.106,3.949,25.759,19.494,156.461,275.064,101.955,132.206,61.642
38,Track_636,3,0,0,0,0,0,0.466,7.223,7.689,12.841,67,67,35.094,291.305,0,35.845,53.349,18.341,53.349,24.754,103.251,105.403,102.095,102.254,1.523
39,Track_637,4,0,0,0,0,0,0.699,7.223,7.922,18.855,68,68,35.97,236.981,0,27.486,39.043,18.88,24.534,10.401,210.494,379.884,106.581,215.68,105.488
40,Track_638,14,1,1,0,0,0,3.262,7.223,10.485,26.08,69,69,25.135,307.67,0,22.912,51.357,9.267,21.42,11.562,177.48,424.813,109.526,148.596,78.286
41,Track_639,2,0,0,0,0,0,0.233,7.223,7.456,5.641,70,70,27.161,302.558,0,24.209,24.209,24.209,24.209,NaN,151.306,176.799,125.813,176.799,25.493
42,Track_640,6,1,1,0,0,0,1.398,7.689,9.087,0.881,71,71,44.398,351.251,0,17.736,33.143,9.386,15.24,9.047,171.874,278.838,111.979,134.919,66.779
43,Track_641,6,0,0,0,0,0,1.165,8.155,9.32,3.973,72,72,59.628,351.592,0,22.406,40.665,9.658,20.678,11.818,155.169,253.989,105.369,133.946,54.139
44,Track_643,5,0,0,0,0,0,0.932,8.155,9.087,1.657,74,74,61.542,352.417,0,23.128,27.552,18.635,23.761,3.673,142.159,266.146,100.888,108.479,62.906
